index,title,view count,like count,comment count
ftQZo7XaTOA,최신 파이썬 코딩 무료 강의 | 2024 점프 투 파이썬 통합본,0,11235,0
yytWGELNeOI,파이썬 무료 기초 강의 - 1강 파이썬이란 무엇인가?,0,10582,0
8lCfkW_dIY4,"파이썬 독학, 제발 설치부터 하지 마세요. (서울대 교수 무료 강의) (1/38)",0,60,0
T6z-0dpXPvU,파이썬 무료 강의 100분 완성 (1분 파이썬 모음),0,13587,0
kWiCuklohdY,파이썬 코딩 무료 강의 (기본편) - 6시간 뒤면 여러분도 개발자가 될 수 있어요 [나도코딩],0,111685,0
jrHwm-gNg5Y,코딩 왕초보 탈출 무료 강의 Python 기초 1강 ( by 서울대 교수 ),0,411,0
x1VFfTz30VE,파이썬 당신이 지금 당장 배워야하는 이유 (파이썬 기초),0,123,0
59JGaJElY8Y,개발자가 보는 프로그래밍 언어좀 해봤다 하는 일반인,0,10778,0
MeQBuFwdIio,고수들 github에 나오는 건방진 문법 #python,0,1972,0
Dkx8Pl6QKW0,파이썬 코딩 무료 강의 (활용편1) - 추억의 오락실 게임을 만들어 보아요. 3시간이면 충분합니다. [나도코딩],0,20141,0
K5KVEU3aaeQ,Python Full Course for Beginners,0,146256,0
2FBX-JcZ2ks,"파이썬 코딩 기초 강좌 - 파이썬 프로그래밍의 기초, 자료형(2)",0,2039,0
JE-rdjcNFVQ,파이썬 왕초보 기초 강의 완벽 마스터 하는 방법,0,17,0
q2-pnQffZik,Learn Python for FREE in 2025,0,27603,0
WCM65ION4nE,Python Syllabus | Python for Beginners | Complete Python Course #pythonlearning,0,9987,0
_uQrJ0TkZlc,Python Full Course for Beginners,0,1248624,0
80yIVH2aOy0,python programming|python for beginners|python full course,0,21350,0
tSZc6Mvqt78,Why This Turtle Graphics Python Tutorial is Worth Your Time,0,1424,0
fXxUYb0s-pc,Impress your crush using Python Code ❤️,0,39995,0
Ro_MScTDfU4,Learn Python in Only 30 Minutes (Beginner Tutorial),0,22980,0
zpW543qFsU4,[1분 파이썬] 2강 연산자(1)_교재제공,0,115,0
W-8j4MrsX2s,Amazing Flower Design using Python turtle 🐢 #python #coding #funny #viral #trending #design,0,58511,0
kqtD5dpn9C8,Python for Beginners - Learn Coding with Python in 1 Hour,0,551564,0
IfKlGhRc7Dc,"Python Roadmap for Beginners! 🐍 Learn Python Programming Step-by-Step"" #python #conding",0,35988,0
hxgVtGGegC8,How to draw a triangle using turtle in Python,0,2109,0
nluUYtejoIE,Python Basics: Your FIRST Program in Under a Minute! 🚀,0,16148,0
b093aqAZiPU,👩‍💻 Python for Beginners Tutorial,0,96467,0
t8pPdKYpowI,Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE],0,169475,0
ix9cRaBkVe0,Python Full Course for free 🐍,0,303857,0
GfWRxr1OBm4,Python Basics: The Best Way to Learn Python Programming (2024),0,31326,0
mC4nyib2sfg,How I Would Learn Python FAST (if I could start over),0,22177,0
fWjsdhR3z3c,Learn Python in Less than 10 Minutes for Beginners (Fast & Easy),0,32523,0
5EnpNI2iCZA,Apprendre Python en 1 heure - Cours Complet Débutant (4K),0,15391,0
Mf9GCn_LsUI,Junior vs senior python developer 🐍 | #python #coding #programming #shorts  @Codingknowledge-yt,0,42297,0
gbYLsUngzLc,Top 10 Most Important Python Functions You Must Know! 🚀 | Python Tutorial for Beginners,0,2368,0
Sg4GMVMdOPo,Start coding with PYTHON in 5 minutes! 🐍,0,20316,0
LRhOzoxHlJo,Python AI And Generative AI Course For Beginners #ai #python #tutorial #course #study #learning,0,10720,0
EmxXYzX6iEs,How to visualize data with Python in Excel. 🤯 #excel  #python #tutorial,0,1814,0
CMzbwSi8_q8,Programming#python#javascript#java#c++#assembly #coding,0,16333,0
rfscVS0vtbw,Learn Python - Full Course for Beginners [Tutorial],0,1116847,0
0_zphmXBiZs,How To Call API In Python,0,2367,0
ss-I6WAiMFA,Python LAMBDA FUNCTION?! #python #programming #coding,0,138256,0
c0MNpou4zOA,How to create a virus using python🦠,0,23068,0
Wghz6w0btxI,Python Programming - A Full Course for Beginners (Learn Python in 2025!),0,1418,0
8KCuHHeC_M0,Learn Python in 1 hour! 🐍,0,15802,0
UByzZYqOHPY,Python pygame Tutorial #python #pygame #coding #programming,0,2755,0
dZ8VrmzYL2A,Pygame - Display Image in Pygame python || Pygame python tutorial #python #pygame,0,14160,0
mB0EBW-vDSQ,Do THIS instead of watching endless tutorials - how I’d learn Python FAST…,0,24626,0
qEwnlMBaLfc,Python in Excel - Beginner Tutorial,0,7533,0
vMV1s-1BKvc,Python courses for Beginners (FREE),0,49954,0
